"Institute","tDate","交易類別","金額"
"外資及陸資","2015-01-14","買","23071.0"
"外資及陸資","2015-01-15","買","20983.0"
"外資及陸資","2015-01-16","買","31179.0"
"外資及陸資","2015-01-19","買","24581.0"
"外資及陸資","2015-01-20","買","22295.0"
"外資及陸資","2015-01-21","買","36599.0"
"外資及陸資","2015-01-22","買","30631.0"
"外資及陸資","2015-01-23","買","39854.0"
"外資及陸資","2015-01-26","買","27973.0"
"外資及陸資","2015-01-14","賣","29680.0"
"外資及陸資","2015-01-15","賣","24568.0"
"外資及陸資","2015-01-16","賣","39378.0"
"外資及陸資","2015-01-19","賣","15664.0"
"外資及陸資","2015-01-20","賣","13728.0"
"外資及陸資","2015-01-21","賣","19376.0"
"外資及陸資","2015-01-22","賣","18696.0"
"外資及陸資","2015-01-23","賣","18572.0"
"外資及陸資","2015-01-26","賣","18940.0"
"投信","2015-01-14","買","1182.0"
"投信","2015-01-15","買","1281.0"
"投信","2015-01-16","買","1796.0"
"投信","2015-01-19","買","1142.0"
"投信","2015-01-20","買","1340.0"
"投信","2015-01-21","買","1333.0"
"投信","2015-01-22","買","2041.0"
"投信","2015-01-23","買","1910.0"
"投信","2015-01-26","買","1527.0"
"投信","2015-01-14","賣","1041.0"
"投信","2015-01-15","賣","1266.0"
"投信","2015-01-16","賣","1996.0"
"投信","2015-01-19","賣","1218.0"
"投信","2015-01-20","賣","1335.0"
"投信","2015-01-21","賣","1390.0"
"投信","2015-01-22","賣","1417.0"
"投信","2015-01-23","賣","1699.0"
"投信","2015-01-26","賣","1324.0"
"自營商(自行買賣)","2015-01-14","買","1182.0"
"自營商(自行買賣)","2015-01-15","買","1056.0"
"自營商(自行買賣)","2015-01-16","買","1196.0"
"自營商(自行買賣)","2015-01-19","買","779.0"
"自營商(自行買賣)","2015-01-20","買","1522.0"
"自營商(自行買賣)","2015-01-21","買","1824.0"
"自營商(自行買賣)","2015-01-22","買","1605.0"
"自營商(自行買賣)","2015-01-23","買","1933.0"
"自營商(自行買賣)","2015-01-26","買","1306.0"
"自營商(自行買賣)","2015-01-14","賣","952.0"
"自營商(自行買賣)","2015-01-15","賣","1091.0"
"自營商(自行買賣)","2015-01-16","賣","1987.0"
"自營商(自行買賣)","2015-01-19","賣","1719.0"
"自營商(自行買賣)","2015-01-20","賣","1378.0"
"自營商(自行買賣)","2015-01-21","賣","1594.0"
"自營商(自行買賣)","2015-01-22","賣","1004.0"
"自營商(自行買賣)","2015-01-23","賣","1550.0"
"自營商(自行買賣)","2015-01-26","賣","1081.0"
"自營商(避險)","2015-01-14","買","5262.0"
"自營商(避險)","2015-01-15","買","5384.0"
"自營商(避險)","2015-01-16","買","5507.0"
"自營商(避險)","2015-01-19","買","6257.0"
"自營商(避險)","2015-01-20","買","6920.0"
"自營商(避險)","2015-01-21","買","5960.0"
"自營商(避險)","2015-01-22","買","5903.0"
"自營商(避險)","2015-01-23","買","7037.0"
"自營商(避險)","2015-01-26","買","4970.0"
"自營商(避險)","2015-01-14","賣","6084.0"
"自營商(避險)","2015-01-15","賣","5311.0"
"自營商(避險)","2015-01-16","賣","7268.0"
"自營商(避險)","2015-01-19","賣","7692.0"
"自營商(避險)","2015-01-20","賣","6251.0"
"自營商(避險)","2015-01-21","賣","6350.0"
"自營商(避險)","2015-01-22","賣","5658.0"
"自營商(避險)","2015-01-23","賣","6507.0"
"自營商(避險)","2015-01-26","賣","4987.0"
"三大法人","2015-01-14","買","30697.0"
"三大法人","2015-01-15","買","28703.0"
"三大法人","2015-01-16","買","39677.0"
"三大法人","2015-01-19","買","32759.0"
"三大法人","2015-01-20","買","32077.0"
"三大法人","2015-01-21","買","45716.0"
"三大法人","2015-01-22","買","40180.0"
"三大法人","2015-01-23","買","50734.0"
"三大法人","2015-01-26","買","35776.0"
"三大法人","2015-01-14","賣","37757.0"
"三大法人","2015-01-15","賣","32235.0"
"三大法人","2015-01-16","賣","50629.0"
"三大法人","2015-01-19","賣","26292.0"
"三大法人","2015-01-20","賣","22693.0"
"三大法人","2015-01-21","賣","28710.0"
"三大法人","2015-01-22","賣","26775.0"
"三大法人","2015-01-23","賣","28329.0"
"三大法人","2015-01-26","賣","26333.0"
"融資","2015-01-14","買","7977564.0"
"融資","2015-01-15","買","8102375.0"
"融資","2015-01-16","買","9021806.0"
"融資","2015-01-19","買","6997550.0"
"融資","2015-01-20","買","7090974.0"
"融資","2015-01-21","買","7481922.0"
"融資","2015-01-22","買","7850019.0"
"融資","2015-01-23","買","9019819.0"
"融資","2015-01-26","買","7027127.0"
"融資","2015-01-14","賣","6639106.0"
"融資","2015-01-15","賣","7410942.0"
"融資","2015-01-16","賣","8588970.0"
"融資","2015-01-19","賣","8490191.0"
"融資","2015-01-20","賣","6975392.0"
"融資","2015-01-21","賣","8012022.0"
"融資","2015-01-22","賣","8065544.0"
"融資","2015-01-23","賣","9598195.0"
"融資","2015-01-26","賣","6628525.0"
"融券","2015-01-14","買","26948.0"
"融券","2015-01-15","買","33004.0"
"融券","2015-01-16","買","49921.0"
"融券","2015-01-19","買","39288.0"
"融券","2015-01-20","買","32911.0"
"融券","2015-01-21","買","40579.0"
"融券","2015-01-22","買","34945.0"
"融券","2015-01-23","買","26324.0"
"融券","2015-01-26","買","29470.0"
"融券","2015-01-14","賣","30815.0"
"融券","2015-01-15","賣","26437.0"
"融券","2015-01-16","賣","37209.0"
"融券","2015-01-19","賣","42027.0"
"融券","2015-01-20","賣","38780.0"
"融券","2015-01-21","賣","45842.0"
"融券","2015-01-22","賣","42603.0"
"融券","2015-01-23","賣","33017.0"
"融券","2015-01-26","賣","38722.0"
