"SKName","tDate","法人","未平倉","淨增減"
"臺股期貨","2015-01-14","外資及陸資","8399.0","-5480.0"
"臺股期貨","2015-01-14","投信","-169.0","-345.0"
"臺股期貨","2015-01-14","自營商","-3134.0","-1051.0"
"臺股期貨","2015-01-15","外資及陸資","9353.0","954.0"
"臺股期貨","2015-01-15","投信","-168.0","1.0"
"臺股期貨","2015-01-15","自營商","-1186.0","1948.0"
"臺股期貨","2015-01-16","外資及陸資","8723.0","-630.0"
"臺股期貨","2015-01-16","投信","-143.0","25.0"
"臺股期貨","2015-01-16","自營商","-1332.0","-146.0"
"臺股期貨","2015-01-19","外資及陸資","10176.0","1453.0"
"臺股期貨","2015-01-19","投信","-64.0","79.0"
"臺股期貨","2015-01-19","自營商","-32.0","1300.0"
"臺股期貨","2015-01-20","外資及陸資","15020.0","4844.0"
"臺股期貨","2015-01-20","投信","-87.0","-23.0"
"臺股期貨","2015-01-20","自營商","-2382.0","-2350.0"
"臺股期貨","2015-01-21","外資及陸資","15297.0","277.0"
"臺股期貨","2015-01-21","投信","-296.0","-209.0"
"臺股期貨","2015-01-21","自營商","-2955.0","-573.0"
"臺股期貨","2015-01-22","外資及陸資","16788.0","1491.0"
"臺股期貨","2015-01-22","投信","-300.0","-4.0"
"臺股期貨","2015-01-22","自營商","-2189.0","766.0"
"臺股期貨","2015-01-23","外資及陸資","19341.0","2553.0"
"臺股期貨","2015-01-23","投信","-200.0","100.0"
"臺股期貨","2015-01-23","自營商","-4012.0","-1823.0"
"臺股期貨","2015-01-26","外資及陸資","20940.0","1599.0"
"臺股期貨","2015-01-26","投信","-242.0","-42.0"
"臺股期貨","2015-01-26","自營商","-2517.0","1495.0"
"臺股期貨","2015-01-26","全市場","286.0","-166.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易人","65349.0","-1656.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易人","63531.0","350.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易人","58174.0","179.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易人","43874.0","-481.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易人","37291.0","38.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易人","54123.0","0.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易人","60750.0","3137.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易人","62613.0","585.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易人","65229.0","1588.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易特定法人","65349.0","-4223.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易特定法人","63531.0","513.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易特定法人","58174.0","-3466.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易特定法人","43874.0","2622.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易特定法人","37291.0","2688.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易特定法人","54123.0","0.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易特定法人","60750.0","3410.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易特定法人","62613.0","2007.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易特定法人","65229.0","494.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易非特定法人","65349.0","2567.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易非特定法人","63531.0","-163.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易非特定法人","58174.0","3645.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易非特定法人","43874.0","-3103.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易非特定法人","37291.0","-2650.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易非特定法人","54123.0","0.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易非特定法人","60750.0","-273.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易非特定法人","62613.0","-1422.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易非特定法人","65229.0","1094.0"
